Designator,Mid X,Mid Y,Rotation,Layer
_7,83.5158,-141.294,0.0,top
_6,83.5158,-127.644,0.0,top
_5,83.6158,-61.194,0.0,top
_4,67.5158,-141.294,0.0,top
_3,67.6158,-74.844,0.0,top
_2,83.6158,-74.844,0.0,top
,67.6158,-61.194,0.0,top
B1,69.5658,-161.744,0.0,top
BT1,79.85,-150.6,0.0,bottom
BZ1,81.9,-134.2,0.0,top
C1,83.3283,-162.044,0.0,top
C14,66.9658,-34.344,180.0,top
C16,94.7658,-46.244,0.0,top
C2,94.7533,-43.394,180.0,top
C3,66.9033,-163.544,0.0,top
C4,64.0158,-169.794,90.0,top
C5_2,66.1,-173.0,0.0,top
C5,66.9658,-40.444,0.0,top
C6,82.7658,-165.794,0.0,top
C7,69.3033,-59.0,0.0,top
D1,90.9158,-162.044,180.0,top
D2,78.2658,-174.394,0.0,top
D3,87.4908,-162.044,0.0,top
D4,73.5158,-174.394,180.0,top
D5,75.4,-132.3,270.0,top
D6,69.4658,-168.344,270.0,top
DS1,80.5158,-113.094,0.0,top
J1,75.85,-180.15,0.0,top
J2,89.95,-177.75,0.0,top
Q1,67.1658,-52.094,180.0,top
Q2,67.0658,-47.2815,180.0,top
Q3,66.8158,-170.794,180.0,top
Q4,94.0625,-53.9,180.0,top
R1,67.1158,-55.994,0.0,top
R10,94.7158,-49.194,180.0,top
R11,80.0783,-162.044,0.0,top
R12,66.3658,-166.694,0.0,top
R13,90.6,-134.1,270.0,top
R14,89.7033,-165.794,0.0,top
R15,74.6033,-172.594,0.0,top
R16,77.9033,-172.594,0.0,top
R17,86.9,-61.6,90.0,top
R18,86.9,-74.4,90.0,top
R19,87.7,-134.1,90.0,top
R2,66.9658,-43.344,180.0,top
R20,89.6,-136.9,180.0,top
R3,94.7658,-40.544,180.0,top
R4,94.7533,-37.644,180.0,top
R5,94.7533,-34.694,0.0,top
R6,93.3658,-165.794,180.0,top
R7,95.2658,-162.044,0.0,top
R8,66.9658,-37.444,0.0,top
R9,86.4033,-165.794,180.0,top
SW1,68.5658,-68.044,270.0,top
SW10,76.5158,-142.344,270.0,top
SW11,92.1158,-128.269,270.0,top
SW12,92.1158,-140.869,270.0,top
SW2,65.9658,-181.269,180.0,top
SW4,75.4158,-61.194,270.0,top
SW5,82.2658,-68.044,270.0,top
SW6,75.4158,-74.869,270.0,top
SW7,92.1658,-61.719,270.0,top
SW8,92.1658,-74.344,270.0,top
SW9,71.1158,-126.744,270.0,top
U1,75.7608,-167.694,0.0,top
U2,75.5658,-162.144,180.0,top
U3,80.2658,-31.774,0.0,top
U5,65.8,-177.305,180.0,top
